dpe_classe,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,longitude,latitude,source_type
C,74.9,42,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,93.9,66.5,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,76.5,42.7,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,73.2,44,NA,appartement,69,69008,844533.36,6516710.92,Neuf
D,102.7,32,NA,appartement,69,69008,844533.36,6516710.92,Neuf
C,76,22.9,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,77.2,22.9,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,76,22.9,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,59,43.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,78.2,22.8,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,52.8,86.8,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,80.6,63.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,57.1,86.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55.1,83,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,62.8,63.4,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,70.4,60.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,62.8,63.4,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,67.9,63.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,91.8,78.1,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,71,42,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,70,76.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,79.5,100.5,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,68.7,63.4,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,70.4,60.2,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55.1,83,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,60.5,82.6,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55.9,42.8,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,76.4,60,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,60.9,83,NA,appartement,69,69008,846385.09,6516320.02,Neuf
C,55,27.1,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,56.2,39.2,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,83.4,48,NA,appartement,69,69008,846040,6515463.13,Neuf
C,78.1,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,53.2,79.4,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,62,46.7,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,84.8,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,80.4,110.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,63.3,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,79.3,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,81.5,40.5,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,53.2,79.4,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,58.2,920.1,NA,immeuble,69,69008,844077.28,6516486.14,Neuf
C,78.1,42.3,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,60.5,47,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,54.6,100.8,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,54,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,54,62.9,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,64.3,102.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,54.3,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,60.4,41.4,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,82.9,43.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,70.2,39.8,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,58.8,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
B,48.2,79.4,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,62.8,62.7,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,59.7,82,NA,appartement,69,69008,846040,6515463.13,Neuf
C,73.3,538.1,NA,immeuble,69,69008,846027.26,6515446.05,Neuf
C,61.8,81.4,NA,appartement,69,69008,846040,6515463.13,Neuf
C,60.6,46.7,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,83.4,43.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,65,78.9,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,69.2,64.4,NA,appartement,69,69008,846040,6515463.13,Neuf
C,75,84.6,NA,appartement,69,69008,846040,6515463.13,Neuf
C,75.2,82.8,NA,appartement,69,69008,846040,6515463.13,Neuf
C,76.8,60.5,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,62.1,64.7,NA,appartement,69,69008,846040,6515463.13,Neuf
C,60.1,40.5,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,54.3,62.9,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,71.6,40.5,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,71.3,62.2,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,79.4,39.7,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,62.4,62.7,NA,appartement,69,69008,846027.26,6515446.05,Neuf
B,47.3,62.9,NA,appartement,69,69008,843993.24,6516473.95,Neuf
B,47.9,82.8,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,62.4,62.6,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,63.1,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
B,52.1,1100.8,NA,immeuble,69,69008,843993.24,6516473.95,Neuf
C,75.7,82.8,NA,appartement,69,69008,846040,6515463.13,Neuf
C,70.5,60.1,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,54.3,62.9,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,67.4,40.5,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,70.2,39.8,NA,appartement,69,69008,844086.75,6516486.7,Neuf
B,48.5,59.1,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,55.2,40.4,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,70.4,62.2,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,73.8,37.9,NA,appartement,69,69008,846040,6515463.13,Neuf
C,74.8,39.8,NA,appartement,69,69008,844119.53,6516485.69,Neuf
B,47.3,62.9,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,60.5,47,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,82.9,43.8,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,81.1,80.7,NA,appartement,69,69008,846040,6515463.13,Neuf
C,57.5,40.5,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,56.5,60.3,NA,appartement,69,69008,843993.24,6516473.95,Neuf
B,48.2,79.4,NA,appartement,69,69008,844086.75,6516486.7,Neuf
B,48.5,59.2,NA,appartement,69,69008,843993.24,6516473.95,Neuf
B,48.5,59.2,NA,appartement,69,69008,843993.24,6516473.95,Neuf
B,47.9,82.8,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,68.8,64.7,NA,appartement,69,69008,846040,6515463.13,Neuf
C,73.3,62.6,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,70.2,39.8,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,70.4,62.2,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,69.2,409,NA,immeuble,69,69008,846027.26,6515446.05,Neuf
C,70,40.5,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,54.8,100.8,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,72.6,42.7,NA,appartement,69,69008,846040,6515463.13,Neuf
C,73.8,1140.8,NA,immeuble,69,69008,846027.26,6515446.05,Neuf
C,51.9,83.3,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,58.6,62.9,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,54,62.9,NA,appartement,69,69008,844086.75,6516486.7,Neuf
C,80.1,37.9,NA,appartement,69,69008,846040,6515463.13,Neuf
B,48,75.4,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,54.3,62.9,NA,appartement,69,69008,844077.28,6516486.14,Neuf
B,47.4,62.6,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,87.4,41,NA,appartement,69,69008,846027.26,6515446.05,Neuf
C,60.3,993.6,NA,immeuble,69,69008,844119.53,6516485.69,Neuf
C,54,62.9,NA,appartement,69,69008,844077.28,6516486.14,Neuf
C,55,27.1,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,55,27.1,NA,appartement,69,69008,843993.24,6516473.95,Neuf
C,70.2,39.8,NA,appartement,69,69008,844119.53,6516485.69,Neuf
C,75.1,60.7,NA,appartement,69,69008,846040,6515463.13,Neuf
C,57.5,32.6,NA,appartement,69,69008,846040,6515463.13,Neuf
C,58.4,48.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,55.6,36.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,62.4,36.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
D,79.3,29.3,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,61.4,45.3,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,58.4,48.1,NA,appartement,69,69008,846745.99,6515736.9,Neuf
D,80,32.5,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,55.6,36.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
D,79,30,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,77.6,33.3,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,57,36.2,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,73.1,61.6,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,84.8,61.7,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,68.2,88.6,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,74.6,22.3,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,64.5,44.7,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,77,43,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,67.6,78.8,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,53.3,91.1,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,72.2,44.1,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,60.2,93.4,NA,appartement,69,69008,845557.57,6517085.8,Neuf
B,87.4,71,NA,appartement,69,69008,846500.08,6516557.7,Neuf
C,101.3,42.3,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,67.9,43.2,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,71.3,65,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,84.2,69.3,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,86.1,118.1,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,53,59.6,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,70.1,61.9,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,81.1,64,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,66.9,67.9,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,68.3,68,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,67.5,79,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,74.4,77.5,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,52,77.5,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,77.4,64.9,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,64.4,65.5,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,72.5,64.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,92.5,86.1,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,76.6,66.5,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,92.4,45.6,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,83.5,60,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,79,41.4,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,72.5,41.8,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,96.1,42.3,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,58.6,109.4,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,68.8,61.2,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,83.6,45.2,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,71.1,68.4,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,85,61,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,50.6,63.8,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,78,64,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,78.1,64.1,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,72.5,42.7,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,70.4,117.7,NA,appartement,69,69008,845597.22,6517077.08,Neuf
C,66.7,72.6,NA,appartement,69,69008,846745.99,6515736.9,Neuf
C,63.2,81,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,82.4,65,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,52.5,62.3,NA,appartement,69,69008,845911.36,6515696.68,Neuf
B,90.5,71,NA,appartement,69,69008,846500.08,6516557.7,Neuf
B,48,85.6,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,61.8,58.5,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,60.6,64.5,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,81.4,67.4,NA,appartement,69,69008,845612.08,6517073.54,Neuf
C,78.9,46.4,NA,appartement,69,69008,845911.36,6515696.68,Neuf
C,52.6,66.5,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,72,64.9,NA,appartement,69,69008,846748.82,6515699.75,Neuf
B,76.3,62.1,NA,appartement,69,69008,844318.55,6516477.7,Neuf
C,61,85.6,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,60.6,60.7,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,57.3,60,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,56.2,61.4,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,75,66.3,NA,appartement,69,69008,846748.82,6515699.75,Neuf
C,74.4,61.4,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,67.3,88.6,NA,appartement,69,69008,845557.57,6517085.8,Neuf
C,67.4,26.6,NA,appartement,69,69008,846039.95,6516649.15,Neuf
C,71.4,62.5,NA,appartement,69,69008,845574.46,6517082.09,Neuf
C,75.7,64.9,NA,appartement,69,69008,846039.95,6516649.15,Neuf
